Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
70119,Cencon Bldg,1.330750335,103.8777335,1,KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
70121,Aft Jln Muhibbah,1.331908054,103.8811428,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
70129,Opp Jln Muhibbah,1.331575435,103.8805819,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70131,Bef Davidson Rd,1.332761634,103.8850345,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
70139,Aft Jln Belangkas,1.332182022,103.8832846,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70141,Citimac Ind Cplx,1.333259407,103.8872337,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
70149,MacPherson Green Condo,1.3329125,103.8864631,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70151,Aft Jln Anggerek,1.327683743,103.8809633,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70161,OPP MATTAR STN EXIT A,1.327586355,103.8832481,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70171,Blk 77,1.328336667,103.8854714,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70181,Blk 36,1.328861771,103.8869172,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70191,OPP BLK 66,1.32722901,103.8879366,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70201,OPP MACPHERSON STN EXIT D,1.324611389,103.8888542,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70211,Blk 90,1.323621667,103.8869617,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70221,Blk 79 FC,1.326208092,103.885121,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70231,OPP MATTAR STN EXIT B,1.326176667,103.8840136,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
70241,Aft Grace Baptist Ch,1.325254,103.882,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
